Plot,X-Start,X-End,Y-Start,Y-End
148,-2.038,1.977,0.392,0.9
147,-2.038,1.977,0.9,1.408
146,-2.038,1.977,1.408,1.916
145,-2.038,1.977,1.916,2.424
144,-2.038,1.977,2.424,2.932
143,-2.038,1.977,2.932,3.44
142,-2.038,1.977,3.44,3.948
141,-2.038,1.977,3.948,4.456
140,-2.038,1.977,4.456,4.964
139,-2.038,1.977,4.964,5.472
138,-2.038,1.977,5.472,5.98
137,-2.038,1.977,5.98,6.488
136,-2.038,1.977,6.488,6.996
135,-2.038,1.977,6.996,7.504
134,-2.038,1.977,7.504,8.012
133,-2.038,1.977,8.012,8.52
132,-2.038,1.977,8.52,9.028
131,-2.038,1.977,9.028,9.536
130,-2.038,1.977,9.536,10.044
129,-2.038,1.977,10.044,10.552
128,-2.038,1.977,10.552,11.06
127,-2.038,1.977,11.06,11.568
126,-2.038,1.977,11.568,12.076
125,-2.038,1.977,12.076,12.584
124,-2.038,1.977,12.584,13.092
123,-2.038,1.977,13.092,13.6
122,-2.038,1.977,13.6,14.108
121,-2.038,1.977,14.108,14.616
120,-2.038,1.977,14.616,15.124
119,-2.038,1.977,15.124,15.632
118,-2.038,1.977,15.632,16.14
117,-2.038,1.977,16.14,16.648
116,-2.038,1.977,16.648,17.156
115,-2.038,1.977,17.156,17.664
114,-2.038,1.977,17.664,18.172
113,-2.038,1.977,18.172,18.68
112,-2.038,1.977,18.68,19.188
111,-2.038,1.977,19.188,19.696
110,-2.038,1.977,19.696,20.204
109,-2.038,1.977,20.204,20.712
108,-2.038,1.977,20.712,21.22
107,-2.038,1.977,21.22,21.728
106,-2.038,1.977,21.728,22.236
105,-2.038,1.977,22.236,22.744
104,-2.038,1.977,22.744,23.252
103,-2.038,1.977,23.252,23.76
102,-2.038,1.977,23.76,24.268
101,-2.038,1.977,24.268,24.776
248,1.977,5.993,0.392,0.9
247,1.977,5.993,0.9,1.408
246,1.977,5.993,1.408,1.916
245,1.977,5.993,1.916,2.424
244,1.977,5.993,2.424,2.932
243,1.977,5.993,2.932,3.44
242,1.977,5.993,3.44,3.948
241,1.977,5.993,3.948,4.456
240,1.977,5.993,4.456,4.964
239,1.977,5.993,4.964,5.472
238,1.977,5.993,5.472,5.98
237,1.977,5.993,5.98,6.488
236,1.977,5.993,6.488,6.996
235,1.977,5.993,6.996,7.504
234,1.977,5.993,7.504,8.012
233,1.977,5.993,8.012,8.52
232,1.977,5.993,8.52,9.028
231,1.977,5.993,9.028,9.536
230,1.977,5.993,9.536,10.044
229,1.977,5.993,10.044,10.552
228,1.977,5.993,10.552,11.06
227,1.977,5.993,11.06,11.568
226,1.977,5.993,11.568,12.076
225,1.977,5.993,12.076,12.584
224,1.977,5.993,12.584,13.092
223,1.977,5.993,13.092,13.6
222,1.977,5.993,13.6,14.108
221,1.977,5.993,14.108,14.616
220,1.977,5.993,14.616,15.124
219,1.977,5.993,15.124,15.632
218,1.977,5.993,15.632,16.14
217,1.977,5.993,16.14,16.648
216,1.977,5.993,16.648,17.156
215,1.977,5.993,17.156,17.664
214,1.977,5.993,17.664,18.172
213,1.977,5.993,18.172,18.68
212,1.977,5.993,18.68,19.188
211,1.977,5.993,19.188,19.696
210,1.977,5.993,19.696,20.204
209,1.977,5.993,20.204,20.712
208,1.977,5.993,20.712,21.22
207,1.977,5.993,21.22,21.728
206,1.977,5.993,21.728,22.236
205,1.977,5.993,22.236,22.744
204,1.977,5.993,22.744,23.252
203,1.977,5.993,23.252,23.76
202,1.977,5.993,23.76,24.268
201,1.977,5.993,24.268,24.776
348,5.993,10.009,0.392,0.9
347,5.993,10.009,0.9,1.408
346,5.993,10.009,1.408,1.916
345,5.993,10.009,1.916,2.424
344,5.993,10.009,2.424,2.932
343,5.993,10.009,2.932,3.44
342,5.993,10.009,3.44,3.948
341,5.993,10.009,3.948,4.456
340,5.993,10.009,4.456,4.964
339,5.993,10.009,4.964,5.472
338,5.993,10.009,5.472,5.98
337,5.993,10.009,5.98,6.488
336,5.993,10.009,6.488,6.996
335,5.993,10.009,6.996,7.504
334,5.993,10.009,7.504,8.012
333,5.993,10.009,8.012,8.52
332,5.993,10.009,8.52,9.028
331,5.993,10.009,9.028,9.536
330,5.993,10.009,9.536,10.044
329,5.993,10.009,10.044,10.552
328,5.993,10.009,10.552,11.06
327,5.993,10.009,11.06,11.568
326,5.993,10.009,11.568,12.076
325,5.993,10.009,12.076,12.584
324,5.993,10.009,12.584,13.092
323,5.993,10.009,13.092,13.6
322,5.993,10.009,13.6,14.108
321,5.993,10.009,14.108,14.616
320,5.993,10.009,14.616,15.124
319,5.993,10.009,15.124,15.632
318,5.993,10.009,15.632,16.14
317,5.993,10.009,16.14,16.648
316,5.993,10.009,16.648,17.156
315,5.993,10.009,17.156,17.664
314,5.993,10.009,17.664,18.172
313,5.993,10.009,18.172,18.68
312,5.993,10.009,18.68,19.188
311,5.993,10.009,19.188,19.696
310,5.993,10.009,19.696,20.204
309,5.993,10.009,20.204,20.712
308,5.993,10.009,20.712,21.22
307,5.993,10.009,21.22,21.728
306,5.993,10.009,21.728,22.236
305,5.993,10.009,22.236,22.744
304,5.993,10.009,22.744,23.252
303,5.993,10.009,23.252,23.76
302,5.993,10.009,23.76,24.268
301,5.993,10.009,24.268,24.776
448,10.009,14.024,0.392,0.9
447,10.009,14.024,0.9,1.408
446,10.009,14.024,1.408,1.916
445,10.009,14.024,1.916,2.424
444,10.009,14.024,2.424,2.932
443,10.009,14.024,2.932,3.44
442,10.009,14.024,3.44,3.948
441,10.009,14.024,3.948,4.456
440,10.009,14.024,4.456,4.964
439,10.009,14.024,4.964,5.472
438,10.009,14.024,5.472,5.98
437,10.009,14.024,5.98,6.488
436,10.009,14.024,6.488,6.996
435,10.009,14.024,6.996,7.504
434,10.009,14.024,7.504,8.012
433,10.009,14.024,8.012,8.52
432,10.009,14.024,8.52,9.028
431,10.009,14.024,9.028,9.536
430,10.009,14.024,9.536,10.044
429,10.009,14.024,10.044,10.552
428,10.009,14.024,10.552,11.06
427,10.009,14.024,11.06,11.568
426,10.009,14.024,11.568,12.076
425,10.009,14.024,12.076,12.584
424,10.009,14.024,12.584,13.092
423,10.009,14.024,13.092,13.6
422,10.009,14.024,13.6,14.108
421,10.009,14.024,14.108,14.616
420,10.009,14.024,14.616,15.124
419,10.009,14.024,15.124,15.632
418,10.009,14.024,15.632,16.14
417,10.009,14.024,16.14,16.648
416,10.009,14.024,16.648,17.156
415,10.009,14.024,17.156,17.664
414,10.009,14.024,17.664,18.172
413,10.009,14.024,18.172,18.68
412,10.009,14.024,18.68,19.188
411,10.009,14.024,19.188,19.696
410,10.009,14.024,19.696,20.204
409,10.009,14.024,20.204,20.712
408,10.009,14.024,20.712,21.22
407,10.009,14.024,21.22,21.728
406,10.009,14.024,21.728,22.236
405,10.009,14.024,22.236,22.744
404,10.009,14.024,22.744,23.252
403,10.009,14.024,23.252,23.76
402,10.009,14.024,23.76,24.268
401,10.009,14.024,24.268,24.776
548,14.024,18.04,0.392,0.9
547,14.024,18.04,0.9,1.408
546,14.024,18.04,1.408,1.916
545,14.024,18.04,1.916,2.424
544,14.024,18.04,2.424,2.932
543,14.024,18.04,2.932,3.44
542,14.024,18.04,3.44,3.948
541,14.024,18.04,3.948,4.456
540,14.024,18.04,4.456,4.964
539,14.024,18.04,4.964,5.472
538,14.024,18.04,5.472,5.98
537,14.024,18.04,5.98,6.488
536,14.024,18.04,6.488,6.996
535,14.024,18.04,6.996,7.504
534,14.024,18.04,7.504,8.012
533,14.024,18.04,8.012,8.52
532,14.024,18.04,8.52,9.028
531,14.024,18.04,9.028,9.536
530,14.024,18.04,9.536,10.044
529,14.024,18.04,10.044,10.552
528,14.024,18.04,10.552,11.06
527,14.024,18.04,11.06,11.568
526,14.024,18.04,11.568,12.076
525,14.024,18.04,12.076,12.584
524,14.024,18.04,12.584,13.092
523,14.024,18.04,13.092,13.6
522,14.024,18.04,13.6,14.108
521,14.024,18.04,14.108,14.616
520,14.024,18.04,14.616,15.124
519,14.024,18.04,15.124,15.632
518,14.024,18.04,15.632,16.14
517,14.024,18.04,16.14,16.648
516,14.024,18.04,16.648,17.156
515,14.024,18.04,17.156,17.664
514,14.024,18.04,17.664,18.172
513,14.024,18.04,18.172,18.68
512,14.024,18.04,18.68,19.188
511,14.024,18.04,19.188,19.696
510,14.024,18.04,19.696,20.204
509,14.024,18.04,20.204,20.712
508,14.024,18.04,20.712,21.22
507,14.024,18.04,21.22,21.728
506,14.024,18.04,21.728,22.236
505,14.024,18.04,22.236,22.744
504,14.024,18.04,22.744,23.252
503,14.024,18.04,23.252,23.76
502,14.024,18.04,23.76,24.268
501,14.024,18.04,24.268,24.776
648,18.04,22.055,0.392,0.9
647,18.04,22.055,0.9,1.408
646,18.04,22.055,1.408,1.916
645,18.04,22.055,1.916,2.424
644,18.04,22.055,2.424,2.932
643,18.04,22.055,2.932,3.44
642,18.04,22.055,3.44,3.948
641,18.04,22.055,3.948,4.456
640,18.04,22.055,4.456,4.964
639,18.04,22.055,4.964,5.472
638,18.04,22.055,5.472,5.98
637,18.04,22.055,5.98,6.488
636,18.04,22.055,6.488,6.996
635,18.04,22.055,6.996,7.504
634,18.04,22.055,7.504,8.012
633,18.04,22.055,8.012,8.52
632,18.04,22.055,8.52,9.028
631,18.04,22.055,9.028,9.536
630,18.04,22.055,9.536,10.044
629,18.04,22.055,10.044,10.552
628,18.04,22.055,10.552,11.06
627,18.04,22.055,11.06,11.568
626,18.04,22.055,11.568,12.076
625,18.04,22.055,12.076,12.584
624,18.04,22.055,12.584,13.092
623,18.04,22.055,13.092,13.6
622,18.04,22.055,13.6,14.108
621,18.04,22.055,14.108,14.616
620,18.04,22.055,14.616,15.124
619,18.04,22.055,15.124,15.632
618,18.04,22.055,15.632,16.14
617,18.04,22.055,16.14,16.648
616,18.04,22.055,16.648,17.156
615,18.04,22.055,17.156,17.664
614,18.04,22.055,17.664,18.172
613,18.04,22.055,18.172,18.68
612,18.04,22.055,18.68,19.188
611,18.04,22.055,19.188,19.696
610,18.04,22.055,19.696,20.204
609,18.04,22.055,20.204,20.712
608,18.04,22.055,20.712,21.22
607,18.04,22.055,21.22,21.728
606,18.04,22.055,21.728,22.236
605,18.04,22.055,22.236,22.744
604,18.04,22.055,22.744,23.252
603,18.04,22.055,23.252,23.76
602,18.04,22.055,23.76,24.268
601,18.04,22.055,24.268,24.776
748,22.055,26.071,0.392,0.9
747,22.055,26.071,0.9,1.408
746,22.055,26.071,1.408,1.916
745,22.055,26.071,1.916,2.424
744,22.055,26.071,2.424,2.932
743,22.055,26.071,2.932,3.44
742,22.055,26.071,3.44,3.948
741,22.055,26.071,3.948,4.456
740,22.055,26.071,4.456,4.964
739,22.055,26.071,4.964,5.472
738,22.055,26.071,5.472,5.98
737,22.055,26.071,5.98,6.488
736,22.055,26.071,6.488,6.996
735,22.055,26.071,6.996,7.504
734,22.055,26.071,7.504,8.012
733,22.055,26.071,8.012,8.52
